cohort,num_fingerprints,fingerprint_length,nonzero_bits_mean,density_mean,zero_fraction_mean,active_global_bit_count,dead_global_bit_fraction,unique_fingerprint_count,duplicate_fingerprint_fraction,count_mass_mean,fraction_nonzero_counts_gt_1
small_molecule_binary,7161,2048,58.21337890625,0.028424501419067383,0.9715754985809326,2048,0.0,6721,0.06144393241167434,,
peptide_binary,3067,2048,82.24095153808594,0.040156714618206024,0.9598432779312134,267,0.86962890625,2985,0.026736224323443136,,
small_molecule_count,7161,2048,58.21337890625,0.028424501419067383,0.9715754985809326,2048,0.0,6827,0.04664153051249831,108.73606872558594,0.3015165627002716
peptide_count,3067,2048,82.24095153808594,0.040156714618206024,0.9598432779312134,267,0.86962890625,3062,0.0016302575806977915,299.8901062011719,0.5130930542945862
